person_id,person_name,institution_id,institution_name,title,role_type,verification
alsuwaidi_adq,Mohamed Hassan Alsuwaidi,adq,ADQ,Managing Director & CEO,executive,v
alsuwaidi_adq,Mohamed Hassan Alsuwaidi,taqa,TAQA Group,Chairman,board,v
syed_basar,Syed Basar Shueb,ihc,International Holding Company,CEO,executive,v
faisal_bannai,Faisal Al Bannai,prescourt,UAE Presidential Court,Adviser for Strategic Research & Advanced Technology Affairs,political,v
faisal_bannai,Faisal Al Bannai,atrc,Advanced Technology Research Council,Secretary-General,government,v
faisal_bannai,Faisal Al Bannai,edge_grp,EDGE Group,Chairman,board,ns
peng_xiao,Peng Xiao,g42,G42,Group CEO,executive,v
peng_xiao,Peng Xiao,mgx,MGX,Board Member,board,v
yousef_otaiba,Yousef Al Otaiba,mofa,UAE Ministry of Foreign Affairs,UAE Ambassador to the United States · Minister of State,political,v
anwar_gargash,Dr. Anwar Gargash,prescourt,UAE Presidential Court,Diplomatic Adviser to the President,political,v
shorafa,Mohamed Ali Al Shorafa,dmt,Department of Municipalities & Transport,Chairman,government,v
shorafa,Mohamed Ali Al Shorafa,etihad,Etihad Airways,"Chairman, Etihad Aviation Group",board,v
shorafa,Mohamed Ali Al Shorafa,sca,Securities & Commodities Authority,Chairman,government,v
shorafa,Mohamed Ali Al Shorafa,execcouncil,Abu Dhabi Executive Council,Member,political,v
mansoori_doh,Mansoor Ibrahim Al Mansoori,doh,Department of Health,Chairman,government,v
mansoori_doh,Mansoor Ibrahim Al Mansoori,execcouncil,Abu Dhabi Executive Council,Member,political,v
sara_musallam,Sara Awadh Musallam,adek,Department of Education & Knowledge,Chairman,government,v
sara_musallam,Sara Awadh Musallam,fedgov,UAE Cabinet / Federal Government,Minister of State for Early Education,political,v
sara_musallam,Sara Awadh Musallam,execcouncil,Abu Dhabi Executive Council,Member,political,v
awaidha_marar,Awaidha Murshed Al Marar,doe,Department of Energy,Chairman,government,v
awaidha_marar,Awaidha Murshed Al Marar,execcouncil,Abu Dhabi Executive Council,Member,political,v
kuttab,Ahmed Tamim Hisham Al Kuttab,dge,Department of Government Enablement,Chairman,government,v
kuttab,Ahmed Tamim Hisham Al Kuttab,execcouncil,Abu Dhabi Executive Council,Member,political,v
falah_ahbabi,Falah Mohammed Al Ahbabi,adports,AD Ports Group,Chairman,board,v
falah_ahbabi,Falah Mohammed Al Ahbabi,execcouncil,Abu Dhabi Executive Council,Member,political,v
mohamed_km,Mohamed Khalifa Al Mubarak,dct,Department of Culture & Tourism,Chairman,government,v
mohamed_km,Mohamed Khalifa Al Mubarak,aldar,Aldar Properties,Chairman,board,v
mohamed_km,Mohamed Khalifa Al Mubarak,miral,Miral (Yas Island / destinations),Chairman,board,v
mohamed_km,Mohamed Khalifa Al Mubarak,execcouncil,Abu Dhabi Executive Council,Member,political,v
mugheer_khaili,Dr. Mugheer Khamis Al Khaili,dcd,Department of Community Development,Chairman,government,v
mugheer_khaili,Dr. Mugheer Khamis Al Khaili,execcouncil,Abu Dhabi Executive Council,Member,political,v
saif_ghobash,Saif Saeed Ghobash,execcouncil,Abu Dhabi Executive Council,Secretary-General,government,ns
ahmed_mazrouei,Dr. Ahmed Mubarak Al Mazrouei,adafsa,Abu Dhabi Agriculture & Food Safety Authority,Chairman,government,ns
ahmed_mazrouei,Dr. Ahmed Mubarak Al Mazrouei,execcouncil,Abu Dhabi Executive Council,Member,political,v
suhail_mazrouei,Suhail Al Mazrouei,fedgov,UAE Cabinet / Federal Government,Minister of Energy & Infrastructure,political,v
sarah_amiri,Sarah Al Amiri,fedgov,UAE Cabinet / Federal Government,Minister of Education,political,v
sarah_amiri,Sarah Al Amiri,spaceagency,UAE Space Agency,Chair,government,v
balama,Khaled Mohamed Balama,cbuae,Central Bank of the UAE,Governor,executive,v
noura_kaabi,Noura Al Kaabi,mofa,UAE Ministry of Foreign Affairs,Minister of State,political,v
hussain_nowais,Hussain Jasim Al Nowais,emsteel,EMSTEEL (Emirates Steel Arkan),Chairman,board,v
hussain_nowais,Hussain Jasim Al Nowais,alnowais,Al Nowais Investments,Chairman,board,v
razan,Razan Khalifa Al Mubarak,ead,Environment Agency – Abu Dhabi,Managing Director,executive,v
tareq_hosani,Tareq Abdul Raheem Al Hosani,tawazun,Tawazun Council,Secretary-General,government,v
ghannam,Ghannam Butti Al Mazrouei,adx,Abu Dhabi Securities Exchange,Chairman,board,ns
zaki,Zaki Anwar Nusseibeh,prescourt,UAE Presidential Court,Cultural Adviser to the President,political,v
zaki,Zaki Anwar Nusseibeh,uaeu,United Arab Emirates University,Chancellor,executive,v
hana,Hana Al Rostamani,fab,First Abu Dhabi Bank,Group CEO,executive,v
alaa,Ala'a Eraiqat,adcb,Abu Dhabi Commercial Bank,Group CEO,executive,v
abdelbary,Mohamed Abdelbary,adib,Abu Dhabi Islamic Bank,Group CEO,executive,ns
jayesh,Jayesh Patel,wio,Wio Bank,CEO,executive,v
adx_ceo,Abdulla Salem Alnuaimi,adx,Abu Dhabi Securities Exchange,Group CEO,executive,ns
waleed,Waleed Al Mokarrab Al Muhairi,mubadala,Mubadala Investment Company,Deputy Group CEO,executive,v
waleed,Waleed Al Mokarrab Al Muhairi,waha,Waha Capital,Chairman,board,ns
homaid,Homaid Al Shimmari,mubadala,Mubadala Investment Company,"Deputy Group CEO, Corporate & Human Capital",executive,v
badr_olama,Badr Al-Olama,adio,Abu Dhabi Investment Office,Director-General,government,v
ahmed_yahia,Ahmed Yahia Al Idrissi,mgx,MGX,CEO,executive,v
khalifa_suwaidi,Khalifa Sultan Al Suwaidi,adq,ADQ,Chief Investment Officer,executive,v
khalifa_suwaidi,Khalifa Sultan Al Suwaidi,agthia,Agthia Group,Chairman,board,v
khalifa_suwaidi,Khalifa Sultan Al Suwaidi,lunate,Lunate,Managing Partner,executive,ns
samia,Samia Bouazza,multiply,Multiply Group,Group CEO,executive,v
alwan,Ahmad Ali Alwan,hub71,Hub71,CEO,executive,v
jasim_thabet,Jasim Husain Thabet,taqa,TAQA Group,Group CEO & Managing Director,executive,v
alshamsi_ewec,Ahmed Ali Alshamsi,ewec,Emirates Water & Electricity Company,CEO,executive,ns
ramahi,Mohamed Jameel Al Ramahi,masdar,Masdar,CEO,executive,v
hammadi_enec,Mohamed Ibrahim Al Hammadi,enec,Emirates Nuclear Energy Company (Barakah),Managing Director & CEO,executive,v
musabbeh,Musabbeh Al Kaabi,adnoc,ADNOC Group,"Executive Director, Low Carbon Solutions & International Growth",executive,v
abdulmunim,Abdulmunim Saif Al Kindy,adnoc,ADNOC Group,"Executive Director, Upstream",executive,ns
fatema,Fatema Al Nuaimi,adnocgas,ADNOC Gas,CEO,executive,ns
seiari,Abdulrahman Al Seiari,adnocdrill,ADNOC Drilling,CEO,executive,ns
masabi,Capt. Abdulkareem Al Masabi,adnocls,ADNOC Logistics & Services,CEO,executive,ns
lamki,Bader Saeed Al Lamki,adnocdist,ADNOC Distribution,CEO,executive,v
hazeem,Hazeem Sultan Al Suwaidi,borouge,Borouge,CEO,executive,v
talal_kaissi,Talal Al Kaissi,core42,Core42,CEO (acting),executive,ns
thomas,Thomas Pramotedham,presight,Presight AI,CEO,executive,v
karim,Karim Michel Sabbagh,space42,Space42,Managing Director,executive,v
alnaqbi,Hassan Alnaqbi,khazna,Khazna Data Centers,CEO,executive,v
najwa,Dr. Najwa Aaraj,tii,Technology Innovation Institute,CEO,executive,v
eric_xing,Prof. Eric Xing,mbzuai,Mohamed bin Zayed University of AI,President,executive,v
hatem,Hatem Dowidar,e_and,e& (Etisalat Group),Group CEO,executive,v
hamad_marar,Hamad Al Marar,edge_grp,EDGE Group,Managing Director & CEO,executive,v
shaista,Shaista Asif,purehealth,PureHealth,Group CEO,executive,v
hasan_nowais,Hasan Jasem Al Nowais,m42,M42,Managing Director & Group CEO,executive,v
shamsheer,Dr. Shamsheer Vayalil,burjeel,Burjeel Holdings,Founder & Chairman,board,v
talal_dhiyebi,Talal Al Dhiyebi,aldar,Aldar Properties,Group CEO,executive,v
bill_oregan,Bill O'Regan,modon,Modon Holding,Group CEO,executive,v
shamisi_ports,Capt. Mohamed Juma Al Shamisi,adports,AD Ports Group,Managing Director & Group CEO,executive,v
neves,Antonoaldo Neves,etihad,Etihad Airways,CEO,executive,v
elena,Elena Sorlini,adairports,Abu Dhabi Airports,Managing Director & CEO,executive,v
shadi,Shadi Malak,etihadrail,Etihad Rail,CEO,executive,v
saeed_remeithi,Saeed Ghumran Al Remeithi,emsteel,EMSTEEL (Emirates Steel Arkan),Group CEO,executive,v
binkalban,Abdulnasser bin Kalban,ega,Emirates Global Aluminium,CEO,executive,v
ismail_abdulla,Ismail Ali Abdulla,strata,Strata Manufacturing,CEO,executive,ns
zaghloul,Yasser Zaghloul,nmdc,NMDC Group,Group CEO,executive,v
yusuffali,Yusuff Ali M.A.,lulu,LuLu Group International,Chairman & Managing Director,board,v
miral_zaabi,Mohamed Abdalla Al Zaabi,miral,Miral (Yas Island / destinations),Group CEO,executive,v
humaid_dhaheri,Humaid Matar Al Dhaheri,adnec,ADNEC Group,Managing Director & Group CEO,executive,v
lickrish,John Lickrish,flash,Flash Entertainment,CEO,executive,v
rani,Rani Raad,imi,International Media Investments,CEO,executive,v
shaikha_dhaheri,Dr. Shaikha Salem Al Dhaheri,ead,Environment Agency – Abu Dhabi,Secretary-General,executive,v
ali_tadweer,Ali Al Dhaheri,tadweer,Tadweer Group,Managing Director & CEO,executive,ns
mohamed_butti,Sheikh Mohamed bin Butti Al Hamed,dasholding,Das Holding,Chairman,board,ns
obaid_aljaber,Obaid Khaleefa Al Jaber,aljaber,Al Jaber Group,Chairman,board,ns
essam_tamimi,Essam Al Tamimi,altamimi,Al Tamimi & Company,Founder & Senior Partner,executive,v
nasser_nowais,Nasser Al Nowais,rotana,Rotana Hotels,Co-founder & Chairman,board,ns
amr_menhali,Amr Al Menhali,waha,Waha Capital,CEO,executive,ns
hamad_ameri,Eng. Hamad Al Ameri,trojan,Trojan Holding,CEO,executive,ns
ahmed_elhoshy,Ahmed El-Hoshy,fertiglobe,Fertiglobe,CEO,executive,v
ebrahim_alhajri,Dr. Ebrahim Saeed Al Hajri,khalifa_u,Khalifa University,President,executive,v
fabio_piano,Fabio Piano,nyuad,NYU Abu Dhabi,Vice Chancellor,executive,v
nathalie_martial_braz,Prof. Nathalie Martial-Braz,sorbonne,Sorbonne University Abu Dhabi,Chancellor,executive,v
kevin_hall,Dr. Kevin Hall,zayed_u,Zayed University,President and CEO,executive,v
maryam_almheiri,H.E. Maryam Eid AlMheiri,admo,Abu Dhabi Media Office,Chairperson,government,v
nadim_koteich,Nadim Koteich,skynewsarabia,Sky News Arabia,General Manager,executive,v
mina_aloraibi,Mina Al-Oraibi,thenational,The National,Editor-in-Chief,executive,v
saeed_alkuwaiti,Saeed Jaber Al Kuwaiti,seha,SEHA (AD Health Services),Group CEO,executive,v
khaled_ateeq_aldhaheri,Khaled Ateeq Al Dhaheri,daman,Daman (National Health Insurance),CEO,executive,v
georges_haber,Dr. Georges-Pascal Haber,ccad,Cleveland Clinic Abu Dhabi,CEO,executive,v
khalifa_alblooshi,Dr. Khalifa Murad Al Blooshi,calidus,Calidus Holding,Managing Director & CEO,executive,v
dhafer_alqasimi,Dhafer Al Qasimi,silal,Silal,CEO,executive,v
osman_serageldin,Osman Serageldin,aldahra,Al Dahra Holding,Interim CEO,executive,v
khalid_anib,Khalid Anib,adnh,Abu Dhabi National Hotels,CEO,executive,v
abdulla_alghfeli,Dr. Abdulla Hamad AlGhfeli,itc,Integrated Transport Centre,Acting Director-General,government,v
faraj_binhamoodah,H.E. Faraj Ali Bin Hamoodah Al Dhaheri,binhamoodah,Bin Hamoodah Group,Chairman,board,v
jawaan_alkhaili,H.E. Jawaan Awaidha Suhail Al-Khaili,nationalholding,National Holding,Chairman,board,v
shamis_aldhaheri,Shamis Al Dhaheri,alisons,Ali & Sons Holding,Group Managing Director,executive,v
fayez_ibbini,Fayez Ibbini,lst_alphadata,Alpha Data PJSC,Founder & CEO,executive,v
esteban_gomez,Esteban Gómez Nadal,lst_e7,E7 Group PJSC,CEO,executive,v
sultan_jaber,Dr. Sultan Ahmed Al Jaber,xrg,XRG (ADNOC international investment),CEO,executive,v
khaled_zaabi_cfo,Khaled Al Zaabi,adnoc,ADNOC Group,Group Chief Financial Officer,executive,v
nasser_almuhairi,Nasser Al Muhairi,adnoc,ADNOC Group,"Acting CEO, Downstream Industry, Marketing & Trading",executive,v
dena_almansoori,Dena Al Mansoori,adnoc,ADNOC Group,Group Chief Technology & Innovation Officer,executive,v
hani_barhoush,Hani Barhoush,mubadala,Mubadala Investment Company,"Managing Director & CEO, Mubadala Capital",executive,v
mansour_almulla,Mansour Mohamed AlMulla,adq,ADQ,Deputy Group Chief Executive Officer,executive,ns
marcos_dequadros,Marcos de Quadros,adq,ADQ,Group Chief Financial Officer,executive,ns
somar_ajalyaqin,Dr. Mohammed Somar Ajalyaqin,ihc,International Holding Company,Vice Chairman,board,ns
alwyn_crasta,Alwyn Crasta,ihc,International Holding Company,Group Chief Financial Officer,executive,ns
ali_dalloul,Ali Dalloul,g42,G42,Group Chief Strategy Officer,executive,v
kiril_evtimov,Kiril Evtimov,g42,G42,Group Chief Technology Officer,executive,v
adrian_kershaw,Adrian Kershaw,taqa,TAQA Group,Chief Financial Officer,executive,v
mazin_khan,Mazin Khan,masdar,Masdar,Chief Financial Officer,executive,v
lars_kramer,Lars Kramer,fab,First Abu Dhabi Bank,Group Chief Financial Officer,executive,v
deepak_khullar,Deepak Khullar,adcb,Abu Dhabi Commercial Bank,Group Chief Financial Officer,executive,ns
karim_bennis,Karim Bennis,e_and,e& (Etisalat Group),Group Chief Financial Officer,executive,v
saif_dahbashi,Saif Ali Al Dahbashi,edge_grp,EDGE Group,"President, Missiles & Weapons Cluster",executive,v
raffael_quintas,Raffael Quintas,etihad,Etihad Airways,Chief Financial Officer,executive,v
salmeen_alameri,Salmeen Obaid Alameri,agthia,Agthia Group,Managing Director & Group CEO,executive,v
